duplication_type	pair_age	gene1	gene2	Ks
TD	old	Pbre1_02G464000	Pbre1_02G464200	0.0945716
TD	old	Pbre1_07G254600	Pbre1_07G254800	0.324025
TD	young	Pbre1_17G291200	Pbre1_17G291400	0.103852
TRD	old	Pbre1_15G579800	Pbre1_01G075600	0.195537
TD	young	Pbre1_01G107000	Pbre1_01G107200	0.0107486
TD	old	Pbre1_16G023200	Pbre1_16G023400	0.137309
TD	old	Pbre1_15G493600	Pbre1_15G493800	0.345872
TRD	old	Pbre1_06G128800	Pbre1_04G119000	0.189769
TD	old	Pbre1_16G224800	Pbre1_16G225000	0.334766
TD	young	Pbre1_02G457000	Pbre1_02G457200	0.0378161
PD	young	Pbre1_17G116600	Pbre1_17G117200	0.0268068
PD	young	Pbre1_04G061600	Pbre1_04G062400	0.0388991
TD	old	Pbre1_04G231200	Pbre1_04G231400	0.345435
TD	old	Pbre1_15G347400	Pbre1_15G347600	0.395469
TRD	old	Pbre1_12G202000	Pbre1_07G377000	0.43429
TD	old	Pbre1_09G188800	Pbre1_09G189000	0.321296
TRD	young	Pbre1_06G149800	Pbre1_02G265000	0.0764135
PD	old	Pbre1_10G027800	Pbre1_10G028800	0.112945
PD	young	Pbre1_09G198200	Pbre1_09G198600	0.0197355
TD	old	Pbre1_05G038800	Pbre1_05G039000	0.123396
TD	young	Pbre1_04G017400	Pbre1_04G017600	0.0514293
TRD	old	Pbre1_14G289800	Pbre1_06G249800	0.370356
TD	old	Pbre1_10G357200	Pbre1_10G357400	0.218273
PD	old	Pbre1_05G231800	Pbre1_05G232400	0.458031
TRD	old	Pbre1_13G227400	Pbre1_04G056400	0.141913
PD	old	Pbre1_09G460000	Pbre1_09G460400	0.215872
PD	old	Pbre1_04G130800	Pbre1_04G131200	0.284152
PD	young	Pbre1_12G423800	Pbre1_12G424400	0.0828755
PD	old	Pbre1_15G733600	Pbre1_15G734400	0.160721
TRD	old	Pbre1_07G020200	Pbre1_02G494200	0.16275
TD	old	Pbre1_01G294600	Pbre1_01G294800	0.207103
TRD	old	Pbre1_09G002400	Pbre1_17G002200	0.152985
TRD	old	Pbre1_09G025200	Pbre1_16G129400	0.23443
TD	young	Pbre1_12G411400	Pbre1_12G411600	0.0610868
PD	old	Pbre1_07G068200	Pbre1_07G069800	0.077381
PD	old	Pbre1_09G022200	Pbre1_09G022600	0.206248
TRD	old	Pbre1_09G247200	Pbre1_17G240400	0.309257
TRD	old	Pbre1_17G460800	Pbre1_17G481000	0.372825
TD	old	Pbre1_01G198000	Pbre1_01G198200	0.290475
PD	young	Pbre1_02G455600	Pbre1_02G456000	0.0836208
PD	old	Pbre1_05G409000	Pbre1_05G409400	0.285572
TD	old	Pbre1_04G292200	Pbre1_04G292400	0.129332
TRD	young	Pbre1_07G475600	Pbre1_16G353200	0.111424
TD	old	Pbre1_04G252400	Pbre1_04G252600	0.13375
TD	old	Pbre1_09G182800	Pbre1_09G183000	0.134473
PD	old	Pbre1_11G148400	Pbre1_11G149200	0.160159
TD	young	Pbre1_08G236400	Pbre1_08G236600	0.00785092
PD	old	Pbre1_11G127600	Pbre1_11G129200	0.0291755
TD	old	Pbre1_07G062400	Pbre1_07G062600	0.417641
TD	old	Pbre1_11G018600	Pbre1_11G018800	0.162851
TRD	old	Pbre1_09G204600	Pbre1_17G198000	0.394873
PD	young	Pbre1_05G038000	Pbre1_05G038800	0.065101
TD	young	Pbre1_16G350400	Pbre1_16G350600	0.0505411
TRD	old	Pbre1_11G136000	Pbre1_15G330000	0.190543
TRD	old	Pbre1_11G241800	Pbre1_03G221000	0.397853
TRD	old	Pbre1_03G148800	Pbre1_13G158000	0.341684
PD	young	Pbre1_03G152800	Pbre1_03G153200	0.0554157
TD	old	Pbre1_16G423600	Pbre1_16G423800	0.346208
TD	old	Pbre1_02G041600	Pbre1_02G041800	0.183999
TRD	old	Pbre1_04G247600	Pbre1_05G105400	0.27471
PD	young	Pbre1_03G196000	Pbre1_03G196400	0.0214308
TRD	young	Pbre1_14G217600	Pbre1_15G539000	0.0356752
TD	old	Pbre1_14G136000	Pbre1_14G136200	0.227775
TRD	old	Pbre1_03G068400	Pbre1_15G110600	0.334152
PD	old	Pbre1_16G422800	Pbre1_16G423600	0.183974
TRD	old	Pbre1_15G706200	Pbre1_11G107400	0.222119
PD	young	Pbre1_05G299000	Pbre1_05G300000	0.0135473
TD	young	Pbre1_15G702200	Pbre1_15G702400	0.0841382
PD	old	Pbre1_06G310400	Pbre1_06G310800	0.256126
TD	young	Pbre1_08G320000	Pbre1_08G320200	0.0534218
PD	old	Pbre1_11G490800	Pbre1_11G492000	0.349483
PD	old	Pbre1_10G562000	Pbre1_10G562400	0.460884
TRD	old	Pbre1_14G190200	Pbre1_06G148200	0.215314
TRD	old	Pbre1_13G448600	Pbre1_04G081800	0.165681
PD	old	Pbre1_02G439400	Pbre1_02G440000	0.142181
TD	old	Pbre1_09G055400	Pbre1_09G055600	0.461922
TD	old	Pbre1_13G357400	Pbre1_13G357600	0.393671
TD	young	Pbre1_03G068000	Pbre1_03G068200	0.0862746
TRD	old	Pbre1_02G298800	Pbre1_11G317000	0.18069
PD	old	Pbre1_03G242400	Pbre1_03G243200	0.331899
TRD	old	Pbre1_10G282000	Pbre1_05G287400	0.160179
TD	old	Pbre1_03G164800	Pbre1_03G165000	0.114814
TRD	old	Pbre1_11G265200	Pbre1_02G315600	0.26351
TD	old	Pbre1_05G413600	Pbre1_05G413800	0.433589
TD	old	Pbre1_02G279800	Pbre1_02G280000	0.241236
PD	old	Pbre1_13G275000	Pbre1_13G275400	0.153413
TD	young	Pbre1_11G149200	Pbre1_11G149400	0.0886278
PD	old	Pbre1_01G200200	Pbre1_01G199800	0.131088
TD	young	Pbre1_11G372200	Pbre1_11G372400	0.0142507
TRD	old	Pbre1_15G057400	Pbre1_11G198400	0.229178
TRD	old	Pbre1_09G451200	Pbre1_16G155400	0.197116
TD	old	Pbre1_02G398200	Pbre1_02G398400	0.126217
TD	young	Pbre1_17G357600	Pbre1_17G357800	0.0616105
TD	old	Pbre1_17G445800	Pbre1_17G446000	0.0970013
TD	young	Pbre1_06G007000	Pbre1_06G007200	0.0734828
TD	old	Pbre1_14G240000	Pbre1_14G240200	0.401741
PD	old	Pbre1_05G273600	Pbre1_05G274000	0.308343
PD	old	Pbre1_15G106000	Pbre1_15G106800	0.184808
PD	young	Pbre1_11G422800	Pbre1_11G423600	0.0517392
TRD	old	Pbre1_02G487800	Pbre1_15G539000	0.113394
TD	old	Pbre1_15G284200	Pbre1_15G284400	0.378394
TD	young	Pbre1_11G027400	Pbre1_11G027600	0.0427633
TD	old	Pbre1_01G130000	Pbre1_01G130200	0.164776
PD	young	Pbre1_16G455600	Pbre1_16G456000	0.0668045
PD	young	Pbre1_09G183400	Pbre1_09G184600	0.0711709
TRD	old	Pbre1_14G087000	Pbre1_12G086800	0.227514
PD	old	Pbre1_12G329400	Pbre1_12G329800	0.34459
PD	young	Pbre1_05G130200	Pbre1_05G130600	0.0411029
TRD	old	Pbre1_03G291600	Pbre1_17G390800	0.151415
TD	old	Pbre1_12G253200	Pbre1_12G253400	0.390723
PD	young	Pbre1_01G107200	Pbre1_01G107600	0.0804056
TRD	old	Pbre1_02G435400	Pbre1_03G046600	0.428968
TD	old	Pbre1_17G266200	Pbre1_17G266400	0.333058
TD	old	Pbre1_09G278600	Pbre1_09G278800	0.146862
PD	old	Pbre1_03G198600	Pbre1_03G199200	0.122675
PD	old	Pbre1_16G097600	Pbre1_16G098000	0.234794
PD	young	Pbre1_04G041600	Pbre1_04G042000	0.0359311
TRD	old	Pbre1_12G141000	Pbre1_12G061000	0.155532
PD	old	Pbre1_15G719200	Pbre1_15G719600	0.1646
TRD	old	Pbre1_03G392200	Pbre1_11G418200	0.392372
TRD	old	Pbre1_14G274000	Pbre1_15G131400	0.233476
TD	young	Pbre1_07G083800	Pbre1_07G084000	0.0094742
TRD	young	Pbre1_16G436000	Pbre1_16G481000	0.0640841
TD	young	Pbre1_05G371000	Pbre1_05G371200	0.0702637
TRD	young	Pbre1_06G347600	Pbre1_13G212800	0.0420418
TD	young	Pbre1_06G031600	Pbre1_06G031800	0.0638442
PD	old	Pbre1_05G049200	Pbre1_05G049800	0.36199
TD	old	Pbre1_03G285400	Pbre1_03G285600	0.393747
TRD	old	Pbre1_12G198400	Pbre1_04G162000	0.35537
PD	young	Pbre1_07G316800	Pbre1_07G317200	0.0693917
TD	young	Pbre1_10G352400	Pbre1_10G352600	0.0967656
TD	old	Pbre1_10G465400	Pbre1_10G465600	0.350887
TRD	old	Pbre1_08G039800	Pbre1_15G034400	0.230375
TD	young	Pbre1_03G036400	Pbre1_03G036600	0.0394686
TD	old	Pbre1_05G248200	Pbre1_05G248400	0.391158
TD	young	Pbre1_12G370000	Pbre1_12G370200	0.0949668
TRD	old	Pbre1_08G273000	Pbre1_15G625600	0.21945
TRD	old	Pbre1_13G279200	Pbre1_16G282400	0.285648
PD	young	Pbre1_05G245800	Pbre1_05G246400	0.112085
TRD	old	Pbre1_15G545200	Pbre1_14G352600	0.232325
TRD	old	Pbre1_05G165800	Pbre1_10G169400	0.255159
PD	young	Pbre1_13G042600	Pbre1_13G043200	0.10046
TRD	old	Pbre1_03G229000	Pbre1_10G105200	0.315558
TD	young	Pbre1_06G054000	Pbre1_06G054200	0.0922855
TRD	old	Pbre1_06G134600	Pbre1_17G148400	0.45503
PD	old	Pbre1_10G156800	Pbre1_10G157200	0.435687
TD	old	Pbre1_08G137400	Pbre1_08G137600	0.113193
PD	young	Pbre1_08G090400	Pbre1_08G090800	0.0570573
PD	old	Pbre1_11G031400	Pbre1_11G032800	0.149855
TD	old	Pbre1_16G185600	Pbre1_16G185800	0.33655
PD	young	Pbre1_06G155400	Pbre1_06G155800	0.10696
PD	old	Pbre1_02G485600	Pbre1_02G486000	0.195173
TD	old	Pbre1_06G186800	Pbre1_06G187000	0.11848
TD	old	Pbre1_14G133800	Pbre1_14G134000	0.143822
TD	young	Pbre1_11G112800	Pbre1_11G113000	0.0921502
PD	young	Pbre1_17G222800	Pbre1_17G223200	0.0804162
TRD	old	Pbre1_14G056200	Pbre1_03G193600	0.330067
TRD	old	Pbre1_11G419600	Pbre1_03G408600	0.380381
TRD	old	Pbre1_10G363200	Pbre1_05G384200	0.122463
TD	young	Pbre1_03G205200	Pbre1_03G205400	0.0587325
TD	old	Pbre1_13G179800	Pbre1_13G180000	0.317107
TRD	old	Pbre1_16G409400	Pbre1_13G402200	0.222452
TD	old	Pbre1_04G235000	Pbre1_04G235200	0.454344
PD	young	Pbre1_13G350600	Pbre1_13G351000	0.0772019
TD	young	Pbre1_14G100000	Pbre1_14G100200	0.0991839
TRD	old	Pbre1_09G028000	Pbre1_17G028800	0.264642
TD	young	Pbre1_15G260600	Pbre1_15G260800	0.0295909
TD	young	Pbre1_17G276000	Pbre1_17G276200	0.0247951
PD	old	Pbre1_03G141000	Pbre1_03G141600	0.0841375
TD	old	Pbre1_05G039200	Pbre1_05G039400	0.464875
PD	young	Pbre1_17G047000	Pbre1_17G047400	0.109767
PD	young	Pbre1_03G138800	Pbre1_03G139200	0.0535577
PD	old	Pbre1_04G309200	Pbre1_04G310200	0.121207
PD	young	Pbre1_02G422000	Pbre1_02G422800	0.00617184
TD	old	Pbre1_03G012400	Pbre1_03G012600	0.415304
TD	young	Pbre1_02G102400	Pbre1_02G102600	0.0268091
TD	old	Pbre1_11G261400	Pbre1_11G261600	0.306409
TD	old	Pbre1_04G308400	Pbre1_04G308600	0.205661
TD	old	Pbre1_11G362600	Pbre1_11G362800	0.232294
PD	old	Pbre1_01G386800	Pbre1_01G387600	0.202002
PD	young	Pbre1_05G357800	Pbre1_05G358200	0.0485884
PD	young	Pbre1_01G141000	Pbre1_01G141600	0.109875
TD	old	Pbre1_09G315800	Pbre1_09G316000	0.256688
TD	old	Pbre1_02G292000	Pbre1_02G292200	0.340913
PD	young	Pbre1_11G284200	Pbre1_11G285000	0.0281391
TD	old	Pbre1_05G231000	Pbre1_05G231200	0.314383
TD	old	Pbre1_02G256600	Pbre1_02G256800	0.453934
PD	young	Pbre1_17G325800	Pbre1_17G327200	0.0505885
PD	old	Pbre1_11G478400	Pbre1_11G478800	0.17646
TD	old	Pbre1_04G370400	Pbre1_04G370600	0.374054
TRD	old	Pbre1_03G187200	Pbre1_02G087600	0.274828
TD	old	Pbre1_02G235800	Pbre1_02G236000	0.204846
TRD	old	Pbre1_14G141000	Pbre1_12G137400	0.193602
TRD	old	Pbre1_16G298600	Pbre1_07G359600	0.128945
PD	young	Pbre1_17G390400	Pbre1_17G391200	0.0776778
TRD	old	Pbre1_01G406200	Pbre1_07G502800	0.321709
TD	old	Pbre1_07G060000	Pbre1_07G060200	0.168995
TRD	young	Pbre1_15G627000	Pbre1_02G001600	0.105377
TRD	old	Pbre1_10G181600	Pbre1_07G392800	0.123831
TRD	young	Pbre1_15G422000	Pbre1_08G124200	0.107621
PD	young	Pbre1_13G201800	Pbre1_13G202200	0.111231
PD	old	Pbre1_02G448800	Pbre1_02G449400	0.0440633
TD	old	Pbre1_11G153600	Pbre1_11G153800	0.177166
TD	young	Pbre1_09G116800	Pbre1_09G117000	0.0965087
TRD	old	Pbre1_08G350200	Pbre1_15G125600	0.183883
TD	old	Pbre1_16G162000	Pbre1_16G162200	0.366492
TRD	old	Pbre1_04G038200	Pbre1_14G390600	0.320634
TRD	old	Pbre1_05G519600	Pbre1_08G131600	0.338026
TD	young	Pbre1_03G420000	Pbre1_03G420200	0.0456912
TRD	young	Pbre1_11G020600	Pbre1_05G531200	0.0967435
TRD	old	Pbre1_06G110200	Pbre1_02G337200	0.204945
TD	old	Pbre1_09G077000	Pbre1_09G077200	0.131399
TD	old	Pbre1_06G145600	Pbre1_06G145800	0.373367
TRD	old	Pbre1_02G238200	Pbre1_15G474800	0.404826
PD	young	Pbre1_09G330400	Pbre1_09G330800	0.0737834
PD	old	Pbre1_17G487400	Pbre1_17G488800	0.114838
TD	old	Pbre1_11G100400	Pbre1_11G100600	0.434064
PD	old	Pbre1_09G064600	Pbre1_09G065200	0.150705
TD	young	Pbre1_10G064600	Pbre1_10G064800	0.0836888
TD	young	Pbre1_04G023400	Pbre1_04G023600	0.092214
PD	young	Pbre1_17G280000	Pbre1_17G280400	0.0840698
TRD	old	Pbre1_10G027000	Pbre1_05G224400	0.314994
TRD	young	Pbre1_14G165600	Pbre1_05G152400	0.0360579
TRD	old	Pbre1_17G246600	Pbre1_09G252400	0.215514
PD	young	Pbre1_13G350800	Pbre1_13G351200	0.0466446
TRD	old	Pbre1_09G149000	Pbre1_17G146600	0.161108
PD	young	Pbre1_17G087200	Pbre1_17G087800	0.027771
PD	young	Pbre1_12G109000	Pbre1_12G109600	0.0966774
TD	old	Pbre1_11G430400	Pbre1_11G430600	0.307892
PD	young	Pbre1_02G442600	Pbre1_02G443600	0.0591347
TD	old	Pbre1_10G031200	Pbre1_10G031400	0.38976
TD	old	Pbre1_07G209400	Pbre1_07G209600	0.170901
TD	young	Pbre1_08G346800	Pbre1_08G347000	0.0956064
TRD	old	Pbre1_15G378800	Pbre1_16G277600	0.13414
PD	old	Pbre1_10G173000	Pbre1_10G174000	0.127389
TRD	old	Pbre1_16G331800	Pbre1_13G325400	0.215566
PD	old	Pbre1_05G232400	Pbre1_05G232800	0.241343
PD	old	Pbre1_09G392200	Pbre1_09G392600	0.166719
TRD	old	Pbre1_06G416200	Pbre1_11G352800	0.190698
TRD	old	Pbre1_11G315800	Pbre1_03G294800	0.153048
PD	old	Pbre1_12G191000	Pbre1_12G191600	0.316883
TD	young	Pbre1_16G055000	Pbre1_16G055200	0.0888299
PD	young	Pbre1_08G073200	Pbre1_08G073600	0.0660076
PD	young	Pbre1_03G135200	Pbre1_03G135600	0.0715697
TD	old	Pbre1_07G441600	Pbre1_07G441800	0.146728
TD	old	Pbre1_14G332200	Pbre1_14G332400	0.255864
PD	old	Pbre1_08G312400	Pbre1_08G312800	0.087982
PD	young	Pbre1_08G321000	Pbre1_08G321400	0.0931804
TD	young	Pbre1_05G575600	Pbre1_05G575800	0.0397091
TRD	old	Pbre1_15G059800	Pbre1_16G051800	0.473219
TD	young	Pbre1_03G292600	Pbre1_03G292800	0.0439891
PD	old	Pbre1_11G419400	Pbre1_11G419800	0.352971
TD	old	Pbre1_11G044000	Pbre1_11G044200	0.299292
TRD	young	Pbre1_12G306200	Pbre1_07G185800	0.0571691
TRD	old	Pbre1_07G126600	Pbre1_02G370800	0.184787
TD	old	Pbre1_01G270200	Pbre1_01G270400	0.152614
TRD	old	Pbre1_08G274400	Pbre1_15G626800	0.19186
TRD	young	Pbre1_11G247000	Pbre1_13G471000	0.0274887
TD	old	Pbre1_02G194400	Pbre1_02G194600	0.390083
TD	old	Pbre1_17G484800	Pbre1_17G485000	0.219407
TD	young	Pbre1_11G080200	Pbre1_11G080400	0.0867706
PD	old	Pbre1_09G098800	Pbre1_09G100000	0.301822
TD	old	Pbre1_14G296600	Pbre1_14G296800	0.117145
TD	old	Pbre1_17G299600	Pbre1_17G299800	0.0697938
TD	old	Pbre1_11G350200	Pbre1_11G350400	0.134361
TD	young	Pbre1_14G410200	Pbre1_14G410400	0.106507
TRD	old	Pbre1_17G437400	Pbre1_02G294800	0.408279
TD	old	Pbre1_11G183800	Pbre1_11G184000	0.113591
PD	young	Pbre1_14G147600	Pbre1_14G148000	0.0565816
TD	young	Pbre1_12G104000	Pbre1_12G104200	0.054972
TRD	old	Pbre1_14G429800	Pbre1_08G111200	0.421799
TD	old	Pbre1_16G313400	Pbre1_16G313600	0.198987
PD	young	Pbre1_07G209600	Pbre1_07G210200	0.0252764
TRD	old	Pbre1_04G184600	Pbre1_05G196800	0.196705
TRD	young	Pbre1_10G282800	Pbre1_01G328200	0.0263614
PD	young	Pbre1_02G396000	Pbre1_02G397000	0.0310546
PD	young	Pbre1_15G082200	Pbre1_15G082800	0.0420812
TD	old	Pbre1_05G444000	Pbre1_05G444200	0.123939
TD	old	Pbre1_06G115600	Pbre1_06G115800	0.165895
PD	young	Pbre1_10G239000	Pbre1_10G239600	0.0175244
TD	young	Pbre1_12G055800	Pbre1_12G056000	0.0666596
TRD	old	Pbre1_05G237200	Pbre1_10G234600	0.425422
TRD	old	Pbre1_06G023000	Pbre1_05G514200	0.230705
TD	young	Pbre1_15G015000	Pbre1_15G015200	0.110436
TRD	old	Pbre1_14G297800	Pbre1_06G257800	0.0927848
PD	old	Pbre1_05G462400	Pbre1_05G463200	0.441435
TD	young	Pbre1_16G347400	Pbre1_16G347600	0.0208728
PD	young	Pbre1_13G156600	Pbre1_13G157000	0.068656
TD	young	Pbre1_05G515000	Pbre1_05G515200	0.0651083
TRD	young	Pbre1_17G319400	Pbre1_11G382600	0.10702
PD	young	Pbre1_14G364800	Pbre1_14G365400	0.0307242
TRD	old	Pbre1_10G159400	Pbre1_05G149600	0.24227
PD	young	Pbre1_03G113600	Pbre1_03G114400	0.0458547
TD	old	Pbre1_04G001600	Pbre1_04G001800	0.182882
TRD	old	Pbre1_03G319800	Pbre1_15G671600	0.446958
PD	old	Pbre1_05G009800	Pbre1_05G010600	0.190236
PD	young	Pbre1_14G303600	Pbre1_14G304000	0.105391
TRD	old	Pbre1_17G372600	Pbre1_03G081600	0.190166
PD	old	Pbre1_11G355000	Pbre1_11G355600	0.11544
TD	old	Pbre1_07G116800	Pbre1_07G117000	0.461096
PD	young	Pbre1_03G197400	Pbre1_03G198400	0.0645032
TD	old	Pbre1_01G270000	Pbre1_01G270200	0.133007
TRD	old	Pbre1_09G085800	Pbre1_13G152200	0.124645
TD	young	Pbre1_07G267600	Pbre1_07G267800	0.0323009
TD	young	Pbre1_09G177400	Pbre1_09G177600	0.101292
PD	young	Pbre1_10G028800	Pbre1_10G029200	0.0438037
TD	old	Pbre1_09G256600	Pbre1_09G256800	0.234173
TRD	old	Pbre1_16G421400	Pbre1_13G412000	0.141578
TRD	old	Pbre1_06G116800	Pbre1_04G130400	0.274868
TRD	old	Pbre1_01G035200	Pbre1_15G238000	0.156223
TRD	old	Pbre1_10G049400	Pbre1_10G026000	0.229095
PD	young	Pbre1_04G041600	Pbre1_04G042200	0.040435
TD	young	Pbre1_13G409200	Pbre1_13G409400	0.0274284
PD	young	Pbre1_03G084600	Pbre1_03G085000	0.0833614
TRD	old	Pbre1_07G287000	Pbre1_15G539000	0.262397
PD	young	Pbre1_08G047800	Pbre1_08G048200	0.021349
TD	old	Pbre1_07G317200	Pbre1_07G317400	0.144096
TD	young	Pbre1_11G032800	Pbre1_11G033000	0.085284
TD	young	Pbre1_02G440800	Pbre1_02G441000	0.0364356
TD	old	Pbre1_11G136600	Pbre1_11G136800	0.115983
PD	old	Pbre1_14G445600	Pbre1_14G446000	0.1237
TRD	old	Pbre1_10G014800	Pbre1_12G353800	0.26433
PD	old	Pbre1_10G199000	Pbre1_10G199800	0.126233
TD	old	Pbre1_17G160000	Pbre1_17G160200	0.426396
TRD	old	Pbre1_13G430800	Pbre1_12G418000	0.410631
PD	young	Pbre1_04G294000	Pbre1_04G294600	0.0688852
TRD	old	Pbre1_02G376800	Pbre1_07G122000	0.213821
TRD	young	Pbre1_15G344000	Pbre1_12G350200	0.112262
TRD	old	Pbre1_12G033800	Pbre1_14G028800	0.173819
TRD	old	Pbre1_16G360600	Pbre1_13G359200	0.23113
TRD	old	Pbre1_15G257800	Pbre1_02G335800	0.117364
PD	old	Pbre1_08G173000	Pbre1_08G173400	0.122786
TD	young	Pbre1_04G051000	Pbre1_04G051200	0.0650266
PD	old	Pbre1_09G156000	Pbre1_09G156600	0.134912
PD	old	Pbre1_08G377600	Pbre1_08G378200	0.432586
TD	old	Pbre1_17G375800	Pbre1_17G376000	0.320043
TRD	old	Pbre1_16G461200	Pbre1_06G061800	0.472473
PD	old	Pbre1_09G192800	Pbre1_09G193400	0.272586
TRD	old	Pbre1_05G391800	Pbre1_10G371000	0.214295
TRD	old	Pbre1_01G031000	Pbre1_01G236200	0.258765
TD	young	Pbre1_14G093000	Pbre1_14G093200	0.111025
PD	old	Pbre1_15G412400	Pbre1_15G412800	0.211825
PD	old	Pbre1_15G086800	Pbre1_15G088000	0.0487652
TRD	old	Pbre1_04G195600	Pbre1_04G254400	0.308494
PD	young	Pbre1_11G274400	Pbre1_11G275200	0.0579794
TD	young	Pbre1_06G266000	Pbre1_06G266200	0.059392
TD	old	Pbre1_03G048800	Pbre1_03G049000	0.180846
PD	young	Pbre1_15G695000	Pbre1_15G695600	0.0216414
TD	old	Pbre1_05G513400	Pbre1_05G513600	0.114493
TRD	old	Pbre1_17G282800	Pbre1_09G285400	0.42197
TRD	old	Pbre1_09G257600	Pbre1_11G119400	0.228533
TD	young	Pbre1_13G062000	Pbre1_13G062200	0.0737177
TRD	old	Pbre1_16G289200	Pbre1_13G339400	0.2174
PD	old	Pbre1_10G296800	Pbre1_10G297800	0.142735
TRD	old	Pbre1_07G115800	Pbre1_02G386800	0.168621
TRD	old	Pbre1_16G275000	Pbre1_13G271000	0.268438
TRD	old	Pbre1_02G238800	Pbre1_16G029400	0.221546
TRD	old	Pbre1_12G103000	Pbre1_14G105000	0.112528
PD	young	Pbre1_01G146600	Pbre1_01G147200	0.0555319
TRD	old	Pbre1_12G121600	Pbre1_14G201200	0.147682
TRD	old	Pbre1_05G049400	Pbre1_16G374600	0.210583
TRD	old	Pbre1_06G040200	Pbre1_11G330800	0.236922
TD	old	Pbre1_13G169200	Pbre1_13G169400	0.126432
TRD	old	Pbre1_10G227400	Pbre1_05G227000	0.126991
PD	old	Pbre1_10G142000	Pbre1_10G142400	0.277874
TRD	old	Pbre1_07G387000	Pbre1_01G310200	0.338352
PD	young	Pbre1_07G358600	Pbre1_07G359800	0.0403817
TRD	old	Pbre1_15G057600	Pbre1_15G099000	0.124221
TD	old	Pbre1_12G053800	Pbre1_12G054000	0.449324
TRD	old	Pbre1_12G169000	Pbre1_13G306400	0.154115
PD	young	Pbre1_17G487600	Pbre1_17G489000	0.0588371
TRD	old	Pbre1_12G295800	Pbre1_09G171600	0.15105
PD	young	Pbre1_05G268200	Pbre1_05G269000	0.0467563
TRD	old	Pbre1_13G352400	Pbre1_07G406400	0.360324
TRD	old	Pbre1_02G413800	Pbre1_15G497000	0.335724
PD	old	Pbre1_01G192200	Pbre1_01G193400	0.130578
TD	young	Pbre1_11G196000	Pbre1_11G196200	0.0582274
TRD	old	Pbre1_09G039600	Pbre1_06G109400	0.225566
PD	young	Pbre1_04G061800	Pbre1_04G062200	0.00674
TRD	old	Pbre1_13G446000	Pbre1_10G409600	0.391966
PD	young	Pbre1_01G232800	Pbre1_01G233200	0.0131679
TRD	young	Pbre1_01G084000	Pbre1_07G157200	0.0907775
TRD	old	Pbre1_17G049600	Pbre1_09G047200	0.152683
TRD	old	Pbre1_12G307600	Pbre1_05G217600	0.232271
TRD	old	Pbre1_02G004200	Pbre1_15G255000	0.275295
TRD	old	Pbre1_02G399400	Pbre1_06G156200	0.345128
PD	young	Pbre1_14G009600	Pbre1_14G010000	0.0462728
PD	old	Pbre1_02G151600	Pbre1_02G152000	0.341092
TD	young	Pbre1_15G265800	Pbre1_15G266000	0.101665
TRD	old	Pbre1_16G496200	Pbre1_06G016200	0.345805
TD	old	Pbre1_08G072600	Pbre1_08G072800	0.385404
TRD	old	Pbre1_10G160800	Pbre1_10G562800	0.200995
TRD	young	Pbre1_01G044400	Pbre1_15G607800	0.0956363
TD	old	Pbre1_14G015800	Pbre1_14G016000	0.215303
PD	young	Pbre1_13G072200	Pbre1_13G072600	0.0129748
TD	old	Pbre1_03G131800	Pbre1_03G132000	0.419971
TRD	old	Pbre1_13G303600	Pbre1_16G306200	0.171399
TD	young	Pbre1_09G232600	Pbre1_09G232800	0.0694329
PD	old	Pbre1_09G425000	Pbre1_09G425600	0.147217
TRD	young	Pbre1_04G145200	Pbre1_05G152400	0.0250146
TD	old	Pbre1_12G332000	Pbre1_12G332200	0.470164
TRD	old	Pbre1_11G283600	Pbre1_03G258400	0.331645
TD	young	Pbre1_01G314800	Pbre1_01G315000	0.106085
TD	old	Pbre1_04G169600	Pbre1_04G169800	0.30722
TRD	old	Pbre1_15G096800	Pbre1_08G117400	0.317616
TD	young	Pbre1_15G084800	Pbre1_15G085000	0.0799358
TD	old	Pbre1_01G269600	Pbre1_01G269800	0.159179
TD	young	Pbre1_10G288200	Pbre1_10G288400	0.109545
TRD	old	Pbre1_09G381400	Pbre1_17G399000	0.181317
TD	old	Pbre1_17G255600	Pbre1_17G255800	0.312849
TRD	old	Pbre1_15G647600	Pbre1_04G000200	0.117185
TRD	old	Pbre1_15G214200	Pbre1_15G220400	0.37327
TD	old	Pbre1_04G398800	Pbre1_04G399000	0.395488
TRD	old	Pbre1_12G336200	Pbre1_05G087200	0.231866
TRD	old	Pbre1_01G042400	Pbre1_15G609000	0.184059
TRD	old	Pbre1_07G290000	Pbre1_09G276400	0.288552
TRD	old	Pbre1_02G408200	Pbre1_08G318600	0.297065
TD	old	Pbre1_03G008600	Pbre1_03G008800	0.412975
TRD	old	Pbre1_07G150600	Pbre1_15G364200	0.14889
PD	old	Pbre1_09G203400	Pbre1_09G204000	0.447572
TD	old	Pbre1_09G146400	Pbre1_09G146600	0.144665
TD	old	Pbre1_06G023400	Pbre1_06G023600	0.287376
PD	young	Pbre1_04G336000	Pbre1_04G336600	0.0666937
PD	old	Pbre1_06G171200	Pbre1_06G171800	0.108674
PD	young	Pbre1_04G184200	Pbre1_04G185200	0.0937705
TRD	old	Pbre1_11G226000	Pbre1_02G442800	0.395978
TRD	old	Pbre1_02G446000	Pbre1_07G058800	0.188548
TRD	young	Pbre1_12G292000	Pbre1_04G029200	0.0732186
