pair	method	Ka	Ks	Ka_Ks	source_file	trajectory	duplication_type
Pbre1_02G189600-Pbre1_16G103400	GMYN	0.362768	0.812902	0.446263	Pbre1_02G189600-Pbre1_16G103400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_02G245000-Pbre1_02G245400	GMYN	0.00453726	0.0244848	0.185309	Pbre1_02G245000-Pbre1_02G245400.cds_aln.axt.kaks	Conservation	PD
Pbre1_17G137800-Pbre1_09G138600	GMYN	0.124772	0.407311	0.306331	Pbre1_17G137800-Pbre1_09G138600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_09G489800-Pbre1_17G504200	GMYN	0.124935	0.268502	0.465305	Pbre1_09G489800-Pbre1_17G504200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_16G202400-Pbre1_10G204200	GMYN	0.230425	1.00135	0.230115	Pbre1_16G202400-Pbre1_10G204200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_03G319800-Pbre1_08G316800	GMYN	0.0293909	0.436641	0.0673113	Pbre1_03G319800-Pbre1_08G316800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_15G036200-Pbre1_15G036400	GMYN	0.0165951	0.147436	0.112557	Pbre1_15G036200-Pbre1_15G036400.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_16G392800-Pbre1_02G277200	GMYN	0.0545175	0.875464	0.0622727	Pbre1_16G392800-Pbre1_02G277200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G355800-Pbre1_09G356000	GMYN	0.00274694	0.00952291	0.288456	Pbre1_09G355800-Pbre1_09G356000.cds_aln.axt.kaks	Conservation	TD
Pbre1_06G056400-Pbre1_06G056600	GMYN	0.0694779	0.109316	0.63557	Pbre1_06G056400-Pbre1_06G056600.cds_aln.axt.kaks	Conservation	TD
Pbre1_05G047600-Pbre1_11G072400	GMYN	0.00950474	0.224053	0.0424219	Pbre1_05G047600-Pbre1_11G072400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_01G250600-Pbre1_02G001800	GMYN	0.30055	0.771023	0.389807	Pbre1_01G250600-Pbre1_02G001800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G417000-Pbre1_10G417200	GMYN		0.294631	2.49076e-12	Pbre1_10G417000-Pbre1_10G417200.cds_aln.axt.kaks	Conservation	TD
Pbre1_13G264000-Pbre1_13G264200	GMYN	0.027253	3.63594	0.00749545	Pbre1_13G264000-Pbre1_13G264200.cds_aln.axt.kaks	Conservation	TD
Pbre1_09G382200-Pbre1_17G398200	GMYN	0.0991022	0.425333	0.232999	Pbre1_09G382200-Pbre1_17G398200.cds_aln.axt.kaks	Neofunctionalization(Parent)	TRD
Pbre1_07G496000-Pbre1_07G496200	GMYN	0.0519978	0.212488	0.244709	Pbre1_07G496000-Pbre1_07G496200.cds_aln.axt.kaks	Specialization	TD
Pbre1_11G430200-Pbre1_12G353800	GMYN	0.136716	0.172473	0.792681	Pbre1_11G430200-Pbre1_12G353800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G308000-Pbre1_06G270800	GMYN	0.129806	0.156565	0.829085	Pbre1_14G308000-Pbre1_06G270800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G459000-Pbre1_03G424600	GMYN	0.0938386	0.412067	0.227727	Pbre1_11G459000-Pbre1_03G424600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_11G010800-Pbre1_11G011000	GMYN	0.0163364	0.0446799	0.365632	Pbre1_11G010800-Pbre1_11G011000.cds_aln.axt.kaks	Conservation	TD
Pbre1_05G245000-Pbre1_09G484200	GMYN	0.108774	1.73532	0.0626826	Pbre1_05G245000-Pbre1_09G484200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G295200-Pbre1_16G171200	GMYN	0.0628198	0.704484	0.0891715	Pbre1_16G295200-Pbre1_16G171200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_04G276800-Pbre1_10G563200	GMYN	0.428198	1.14884	0.372721	Pbre1_04G276800-Pbre1_10G563200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_17G478800-Pbre1_12G311200	GMYN	0.134567	0.319565	0.421095	Pbre1_17G478800-Pbre1_12G311200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G415600-Pbre1_02G206200	GMYN	0.426081	1.09434	0.389351	Pbre1_16G415600-Pbre1_02G206200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G411600-Pbre1_08G316800	GMYN	0.0312864	1.52521	0.0205128	Pbre1_09G411600-Pbre1_08G316800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_02G385600-Pbre1_02G385800	GMYN	0.0985792	0.359018	0.27458	Pbre1_02G385600-Pbre1_02G385800.cds_aln.axt.kaks	Specialization	TD
Pbre1_11G061000-Pbre1_11G061600	GMYN	0.0401789	0.0989123	0.406207	Pbre1_11G061000-Pbre1_11G061600.cds_aln.axt.kaks	Specialization	PD
Pbre1_16G348000-Pbre1_13G343600	GMYN	0.0641592	0.121329	0.528806	Pbre1_16G348000-Pbre1_13G343600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G396000-Pbre1_11G396200	GMYN	0.181036	0.820678	0.220593	Pbre1_11G396000-Pbre1_11G396200.cds_aln.axt.kaks	Neofunctionalization(Parent)	TD
Pbre1_17G503000-Pbre1_16G372600	GMYN	0.00298459	0.053873	0.0554005	Pbre1_17G503000-Pbre1_16G372600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_17G250600-Pbre1_14G189400	GMYN	0.0632714	0.213211	0.296755	Pbre1_17G250600-Pbre1_14G189400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_02G172800-Pbre1_02G173200	GMYN	0.0465236	0.143701	0.323753	Pbre1_02G172800-Pbre1_02G173200.cds_aln.axt.kaks	Conservation	PD
Pbre1_01G165600-Pbre1_05G020600	GMYN	0.264479	1.56572	0.168918	Pbre1_01G165600-Pbre1_05G020600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_15G687000-Pbre1_16G018800	GMYN	0.127201	0.469807	0.270752	Pbre1_15G687000-Pbre1_16G018800.cds_aln.axt.kaks	Conservation	TRD
Pbre1_09G073800-Pbre1_12G266600	GMYN	0.0968549	0.127964	0.756893	Pbre1_09G073800-Pbre1_12G266600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_17G468600-Pbre1_17G469200	GMYN	0.0256728	0.223799	0.114714	Pbre1_17G468600-Pbre1_17G469200.cds_aln.axt.kaks	Neofunctionalization(Child)	PD
Pbre1_05G465400-Pbre1_10G438800	GMYN	0.0381479	0.160942	0.237029	Pbre1_05G465400-Pbre1_10G438800.cds_aln.axt.kaks	Conservation	TRD
Pbre1_10G436800-Pbre1_10G437000	GMYN	0.0549615	0.0750201	0.732624	Pbre1_10G436800-Pbre1_10G437000.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_02G044200-Pbre1_02G044400	GMYN	0.0714474	0.206467	0.346047	Pbre1_02G044200-Pbre1_02G044400.cds_aln.axt.kaks	Conservation	TD
Pbre1_10G220000-Pbre1_05G219000	GMYN	0.0521672	0.292756	0.178193	Pbre1_10G220000-Pbre1_05G219000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G145200-Pbre1_16G145600	GMYN	0.0417172	0.0664215	0.628069	Pbre1_16G145200-Pbre1_16G145600.cds_aln.axt.kaks	Specialization	PD
Pbre1_10G237600-Pbre1_10G238800	GMYN	0.231696	0.60522	0.382829	Pbre1_10G237600-Pbre1_10G238800.cds_aln.axt.kaks	Specialization	PD
Pbre1_17G123800-Pbre1_17G124000	GMYN	0.34609	0.569036	0.608204	Pbre1_17G123800-Pbre1_17G124000.cds_aln.axt.kaks	Conservation	TD
Pbre1_01G425600-Pbre1_01G425800	GMYN	0.238884	0.527392	0.452954	Pbre1_01G425600-Pbre1_01G425800.cds_aln.axt.kaks	Specialization	TD
Pbre1_06G182200-Pbre1_06G182400	GMYN	0.273426	0.489313	0.558797	Pbre1_06G182200-Pbre1_06G182400.cds_aln.axt.kaks	Specialization	TD
Pbre1_08G177000-Pbre1_08G185800	GMYN	0.0636286	0.103275	0.61611	Pbre1_08G177000-Pbre1_08G185800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_15G267400-Pbre1_15G267600	GMYN	0.111586	0.141273	0.789858	Pbre1_15G267400-Pbre1_15G267600.cds_aln.axt.kaks	Conservation	TD
Pbre1_11G025000-Pbre1_11G205600	GMYN	0.490884	0.611608	0.802612	Pbre1_11G025000-Pbre1_11G205600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_02G420600-Pbre1_05G060000	GMYN	0.0684206	0.153389	0.44606	Pbre1_02G420600-Pbre1_05G060000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G459400-Pbre1_05G486400	GMYN	0.0800946	0.423853	0.188968	Pbre1_10G459400-Pbre1_05G486400.cds_aln.axt.kaks	Neofunctionalization(Parent)	TRD
Pbre1_06G056200-Pbre1_15G294000	GMYN	0.0820864	0.194521	0.421993	Pbre1_06G056200-Pbre1_15G294000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_09G440600-Pbre1_09G441000	GMYN	0.0906235	0.135777	0.667445	Pbre1_09G440600-Pbre1_09G441000.cds_aln.axt.kaks	Specialization	PD
Pbre1_15G772200-Pbre1_08G404000	GMYN	0.159988	0.227082	0.704537	Pbre1_15G772200-Pbre1_08G404000.cds_aln.axt.kaks	Specialization	TRD
Pbre1_11G180400-Pbre1_14G251200	GMYN	0.219519	0.936004	0.234528	Pbre1_11G180400-Pbre1_14G251200.cds_aln.axt.kaks	Specialization	TRD
Pbre1_08G383000-Pbre1_02G377600	GMYN	0.306471	0.737682	0.415451	Pbre1_08G383000-Pbre1_02G377600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_12G422000-Pbre1_12G423200	GMYN	0.201868	1.38725	0.145516	Pbre1_12G422000-Pbre1_12G423200.cds_aln.axt.kaks	Neofunctionalization(Child)	PD
Pbre1_03G332000-Pbre1_03G332200	GMYN	0.0284981	0.0224573	1.26899	Pbre1_03G332000-Pbre1_03G332200.cds_aln.axt.kaks	Conservation	TD
Pbre1_03G095400-Pbre1_14G026600	GMYN	0.162584	0.185238	0.877703	Pbre1_03G095400-Pbre1_14G026600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_09G142400-Pbre1_05G035200	GMYN	0.0853606	0.182658	0.467324	Pbre1_09G142400-Pbre1_05G035200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G424800-Pbre1_09G425200	GMYN	0.1402	0.189914	0.738227	Pbre1_09G424800-Pbre1_09G425200.cds_aln.axt.kaks	Specialization	PD
Pbre1_01G113200-Pbre1_01G113400	GMYN	0.0383577	0.0924655	0.414832	Pbre1_01G113200-Pbre1_01G113400.cds_aln.axt.kaks	Conservation	TD
Pbre1_07G243200-Pbre1_07G243400	GMYN	0.052314	0.0930901	0.561971	Pbre1_07G243200-Pbre1_07G243400.cds_aln.axt.kaks	Specialization	TD
Pbre1_13G454000-Pbre1_04G074000	GMYN	0.0316551	0.19351	0.163584	Pbre1_13G454000-Pbre1_04G074000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_17G280600-Pbre1_15G398800	GMYN	0.188269	1.16136	0.162111	Pbre1_17G280600-Pbre1_15G398800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_07G251600-Pbre1_04G270600	GMYN	0.125072	0.801747	0.155999	Pbre1_07G251600-Pbre1_04G270600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_05G327000-Pbre1_05G327200	GMYN	0.0148302	0.0570718	0.259852	Pbre1_05G327000-Pbre1_05G327200.cds_aln.axt.kaks	Conservation	TD
Pbre1_11G323600-Pbre1_11G324000	GMYN	0.440068	1.22829	0.358276	Pbre1_11G323600-Pbre1_11G324000.cds_aln.axt.kaks	Specialization	PD
Pbre1_17G323000-Pbre1_04G081200	GMYN	0.0189224	0.124533	0.151947	Pbre1_17G323000-Pbre1_04G081200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_12G012200-Pbre1_16G102400	GMYN	0.0407214	0.0968349	0.420524	Pbre1_12G012200-Pbre1_16G102400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_03G238600-Pbre1_03G239200	GMYN	0.0112711	0.22535	0.0500161	Pbre1_03G238600-Pbre1_03G239200.cds_aln.axt.kaks	Conservation	PD
Pbre1_10G424600-Pbre1_10G425400	GMYN	0.0476465	0.0504337	0.944736	Pbre1_10G424600-Pbre1_10G425400.cds_aln.axt.kaks	Neofunctionalization(Parent)	PD
Pbre1_17G201600-Pbre1_16G142200	GMYN	0.423044	1.67622	0.252379	Pbre1_17G201600-Pbre1_16G142200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G411600-Pbre1_15G671600	GMYN	0.0312784	1.2649	0.0247278	Pbre1_09G411600-Pbre1_15G671600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_08G133000-Pbre1_09G087800	GMYN	0.0921575	0.259575	0.355033	Pbre1_08G133000-Pbre1_09G087800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_15G185400-Pbre1_15G185600	GMYN	0.100824	0.371947	0.27107	Pbre1_15G185400-Pbre1_15G185600.cds_aln.axt.kaks	Neofunctionalization(Parent)	TD
Pbre1_07G022000-Pbre1_09G285400	GMYN	0.347399	0.892791	0.389116	Pbre1_07G022000-Pbre1_09G285400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G124600-Pbre1_16G213000	GMYN	0.109414	0.12687	0.862412	Pbre1_16G124600-Pbre1_16G213000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_06G046200-Pbre1_06G070400	GMYN	0.2802	0.708146	0.395681	Pbre1_06G046200-Pbre1_06G070400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_12G284400-Pbre1_14G006800	GMYN	0.240349	0.286646	0.838488	Pbre1_12G284400-Pbre1_14G006800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_15G075800-Pbre1_08G069200	GMYN	0.224871	0.596636	0.376897	Pbre1_15G075800-Pbre1_08G069200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_06G032800-Pbre1_15G443200	GMYN	0.188604	0.842269	0.223924	Pbre1_06G032800-Pbre1_15G443200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_12G270400-Pbre1_11G528600	GMYN	0.21454	0.44401	0.483186	Pbre1_12G270400-Pbre1_11G528600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_04G392000-Pbre1_12G417600	GMYN	0.0405861	0.165783	0.244814	Pbre1_04G392000-Pbre1_12G417600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_10G108200-Pbre1_03G314400	GMYN	0.0406414	0.121696	0.333958	Pbre1_10G108200-Pbre1_03G314400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G389600-Pbre1_03G023000	GMYN	0.169706	0.457378	0.37104	Pbre1_11G389600-Pbre1_03G023000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_15G014600-Pbre1_08G018000	GMYN	0.364724	0.942788	0.386857	Pbre1_15G014600-Pbre1_08G018000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G206000-Pbre1_10G530600	GMYN	0.436897	0.81487	0.536156	Pbre1_14G206000-Pbre1_10G530600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_08G222200-Pbre1_05G199400	GMYN	0.073164	0.200663	0.364612	Pbre1_08G222200-Pbre1_05G199400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_15G540600-Pbre1_13G170000	GMYN	0.458092	1.17401	0.390193	Pbre1_15G540600-Pbre1_13G170000.cds_aln.axt.kaks	Specialization	TRD
Pbre1_11G244800-Pbre1_11G314200	GMYN	0.0259165	0.10095	0.256726	Pbre1_11G244800-Pbre1_11G314200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_04G198800-Pbre1_04G201400	GMYN	0.0655387	0.118575	0.552718	Pbre1_04G198800-Pbre1_04G201400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_14G140600-Pbre1_12G136600	GMYN	0.125007	0.384179	0.325388	Pbre1_14G140600-Pbre1_12G136600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_16G359000-Pbre1_16G359200	GMYN	0.281677	0.785498	0.358596	Pbre1_16G359000-Pbre1_16G359200.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_06G314000-Pbre1_14G352000	GMYN	0.404913	3.42478	0.118231	Pbre1_06G314000-Pbre1_14G352000.cds_aln.axt.kaks	Specialization	TRD
Pbre1_06G227800-Pbre1_06G228000	GMYN	0.22553	0.744889	0.30277	Pbre1_06G227800-Pbre1_06G228000.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_02G285400-Pbre1_02G047200	GMYN	0.385425	1.30053	0.29636	Pbre1_02G285400-Pbre1_02G047200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_12G102200-Pbre1_17G179600	GMYN	0.323981	0.843061	0.384291	Pbre1_12G102200-Pbre1_17G179600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_13G484800-Pbre1_13G485400	GMYN	0.00995519	0.0232613	0.427973	Pbre1_13G484800-Pbre1_13G485400.cds_aln.axt.kaks	Conservation	PD
Pbre1_17G261600-Pbre1_16G484000	GMYN	0.265462	1.06828	0.248494	Pbre1_17G261600-Pbre1_16G484000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G188800-Pbre1_10G189400	GMYN	0.0358257	0.120413	0.297525	Pbre1_10G188800-Pbre1_10G189400.cds_aln.axt.kaks	Conservation	PD
Pbre1_11G474200-Pbre1_11G475600	GMYN	0.558303	0.640418	0.87178	Pbre1_11G474200-Pbre1_11G475600.cds_aln.axt.kaks	Specialization	PD
Pbre1_15G171800-Pbre1_15G172600	GMYN	0.0614806	0.0546781	1.12441	Pbre1_15G171800-Pbre1_15G172600.cds_aln.axt.kaks	Specialization	PD
Pbre1_10G592400-Pbre1_14G321000	GMYN	0.695179	1.25058	0.555886	Pbre1_10G592400-Pbre1_14G321000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G358200-Pbre1_05G378600	GMYN	0.107951	0.389177	0.277382	Pbre1_10G358200-Pbre1_05G378600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_15G030600-Pbre1_15G031000	GMYN	0.03919	0.0851124	0.460449	Pbre1_15G030600-Pbre1_15G031000.cds_aln.axt.kaks	Specialization	PD
Pbre1_13G445800-Pbre1_05G429600	GMYN	0.0205352	0.0131241	1.56469	Pbre1_13G445800-Pbre1_05G429600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_02G424600-Pbre1_02G424800	GMYN	0.184648	0.375844	0.491289	Pbre1_02G424600-Pbre1_02G424800.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_11G093600-Pbre1_11G093800	GMYN	0.480382	3.06068	0.156953	Pbre1_11G093600-Pbre1_11G093800.cds_aln.axt.kaks	Conservation	TD
Pbre1_16G476800-Pbre1_07G264600	GMYN	0.118644	0.550765	0.215416	Pbre1_16G476800-Pbre1_07G264600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G334400-Pbre1_11G335600	GMYN	0.246521	1.11094	0.221904	Pbre1_11G334400-Pbre1_11G335600.cds_aln.axt.kaks	Neofunctionalization(Parent)	PD
Pbre1_05G075000-Pbre1_02G363000	GMYN	0.57722	0.474943	1.21535	Pbre1_05G075000-Pbre1_02G363000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_07G229200-Pbre1_15G252600	GMYN	0.146382	0.431739	0.339052	Pbre1_07G229200-Pbre1_15G252600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_15G102600-Pbre1_08G109800	GMYN	0.185378	0.523411	0.354172	Pbre1_15G102600-Pbre1_08G109800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_14G169200-Pbre1_14G169400	GMYN	0.0501032	0.159192	0.314734	Pbre1_14G169200-Pbre1_14G169400.cds_aln.axt.kaks	Conservation	TD
Pbre1_06G350600-Pbre1_14G388200	GMYN	0.222692	0.480106	0.463839	Pbre1_06G350600-Pbre1_14G388200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_01G022200-Pbre1_15G390800	GMYN	0.212117	0.424463	0.499731	Pbre1_01G022200-Pbre1_15G390800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G512600-Pbre1_10G513200	GMYN	0.0757758	0.143598	0.527696	Pbre1_10G512600-Pbre1_10G513200.cds_aln.axt.kaks	Conservation	PD
Pbre1_06G199400-Pbre1_12G282200	GMYN	0.257776	2.44665	0.105359	Pbre1_06G199400-Pbre1_12G282200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G184400-Pbre1_16G184600	GMYN	0.254897	0.797083	0.319787	Pbre1_16G184400-Pbre1_16G184600.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_15G483200-Pbre1_11G212400	GMYN	0.216849	1.17684	0.184264	Pbre1_15G483200-Pbre1_11G212400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_15G250200-Pbre1_08G415200	GMYN	0.175469	0.417725	0.420059	Pbre1_15G250200-Pbre1_08G415200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_04G256200-Pbre1_04G256600	GMYN	0.283134	1.14906	0.246405	Pbre1_04G256200-Pbre1_04G256600.cds_aln.axt.kaks	Specialization	PD
Pbre1_15G372600-Pbre1_07G454000	GMYN	0.15709	0.343607	0.457178	Pbre1_15G372600-Pbre1_07G454000.cds_aln.axt.kaks	Specialization	TRD
Pbre1_08G179200-Pbre1_08G179800	GMYN	0.0714054	0.078143	0.913779	Pbre1_08G179200-Pbre1_08G179800.cds_aln.axt.kaks	Specialization	PD
Pbre1_16G040600-Pbre1_16G040800	GMYN	0.338706	1.89273	0.178951	Pbre1_16G040600-Pbre1_16G040800.cds_aln.axt.kaks	Specialization	TD
Pbre1_11G414600-Pbre1_04G123800	GMYN	0.422696	0.490579	0.861627	Pbre1_11G414600-Pbre1_04G123800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G460800-Pbre1_13G018800	GMYN	0.138596	0.471406	0.294005	Pbre1_16G460800-Pbre1_13G018800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_17G112800-Pbre1_17G117400	GMYN	0.212874	1.20124	0.177212	Pbre1_17G112800-Pbre1_17G117400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_03G461200-Pbre1_10G173400	GMYN	0.205	0.442121	0.463674	Pbre1_03G461200-Pbre1_10G173400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_05G603800-Pbre1_10G592200	GMYN	0.0176255	0.129322	0.136292	Pbre1_05G603800-Pbre1_10G592200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_09G401400-Pbre1_06G230200	GMYN	0.179984	1.20522	0.149338	Pbre1_09G401400-Pbre1_06G230200.cds_aln.axt.kaks	Specialization	TRD
Pbre1_15G002600-Pbre1_08G005000	GMYN	0.0158628	0.0826306	0.191973	Pbre1_15G002600-Pbre1_08G005000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G080600-Pbre1_14G081400	GMYN	0.192049	0.47246	0.406488	Pbre1_14G080600-Pbre1_14G081400.cds_aln.axt.kaks	Neofunctionalization(Child)	PD
Pbre1_16G392800-Pbre1_15G518200	GMYN	0.054425	0.838186	0.0649319	Pbre1_16G392800-Pbre1_15G518200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_07G039000-Pbre1_01G434000	GMYN	0.0837301	0.217614	0.384764	Pbre1_07G039000-Pbre1_01G434000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_06G357000-Pbre1_09G411800	GMYN	0.590608	1.30256	0.453422	Pbre1_06G357000-Pbre1_09G411800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G023200-Pbre1_16G023400	GMYN	0.035095	0.137309	0.255591	Pbre1_16G023200-Pbre1_16G023400.cds_aln.axt.kaks	Specialization	TD
Pbre1_15G493600-Pbre1_15G493800	GMYN	0.110487	0.345872	0.319444	Pbre1_15G493600-Pbre1_15G493800.cds_aln.axt.kaks	Specialization	TD
Pbre1_10G505600-Pbre1_05G526400	GMYN	0.271689	0.797287	0.340767	Pbre1_10G505600-Pbre1_05G526400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_04G231200-Pbre1_04G231400	GMYN	0.0637804	0.345435	0.184638	Pbre1_04G231200-Pbre1_04G231400.cds_aln.axt.kaks	Specialization	TD
Pbre1_10G357200-Pbre1_10G357400	GMYN	0.00357689	0.218273	0.0163872	Pbre1_10G357200-Pbre1_10G357400.cds_aln.axt.kaks	Conservation	TD
Pbre1_09G098400-Pbre1_05G327800	GMYN	0.465909	0.813645	0.57262	Pbre1_09G098400-Pbre1_05G327800.cds_aln.axt.kaks	Conservation	TRD
Pbre1_12G049200-Pbre1_09G037800	GMYN	0.586046	1.88242	0.311326	Pbre1_12G049200-Pbre1_09G037800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_07G020200-Pbre1_02G494200	GMYN	0.0884034	0.16275	0.543184	Pbre1_07G020200-Pbre1_02G494200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_01G294600-Pbre1_01G294800	GMYN	0.0433603	0.207103	0.209366	Pbre1_01G294600-Pbre1_01G294800.cds_aln.axt.kaks	Specialization	TD
Pbre1_09G025200-Pbre1_16G129400	GMYN	0.0306091	0.23443	0.130568	Pbre1_09G025200-Pbre1_16G129400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G022200-Pbre1_09G022600	GMYN	0.0745347	0.206248	0.361384	Pbre1_09G022200-Pbre1_09G022600.cds_aln.axt.kaks	Conservation	PD
Pbre1_09G247200-Pbre1_17G240400	GMYN	0.0856692	0.309257	0.277016	Pbre1_09G247200-Pbre1_17G240400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_07G475600-Pbre1_16G353200	GMYN	0.0454625	0.111424	0.408013	Pbre1_07G475600-Pbre1_16G353200.cds_aln.axt.kaks	Specialization	TRD
Pbre1_05G423800-Pbre1_08G329600	GMYN	0.191778	0.70416	0.272349	Pbre1_05G423800-Pbre1_08G329600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G270400-Pbre1_01G092400	GMYN	0.318297	0.52436	0.60702	Pbre1_10G270400-Pbre1_01G092400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_04G078000-Pbre1_09G464200	GMYN	0.133533	0.59511	0.224383	Pbre1_04G078000-Pbre1_09G464200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_13G195200-Pbre1_13G195600	GMYN	0.272808	0.779284	0.350075	Pbre1_13G195200-Pbre1_13G195600.cds_aln.axt.kaks	Conservation	PD
Pbre1_09G204600-Pbre1_17G198000	GMYN	0.12086	0.394873	0.306074	Pbre1_09G204600-Pbre1_17G198000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
